Review,Sentiment,Domain,Sub-Domain
Package arrived on time,Positive,Service,Delivery
Course content is outdated,Negative,Education,Course Content
Delivery was very late,Negative,Service,Delivery
Delivery was very late,Negative,Service,Delivery
Delivery experience was disappointing,Negative,Service,Delivery
Poor build quality,Negative,Product,Quality
Faculty is not responsive,Negative,Education,Faculty
Course content is outdated,Negative,Education,Course Content
Course content is outdated,Negative,Education,Course Content
The curriculum is well designed,Positive,Education,Course Content
Fast and smooth delivery,Positive,Service,Delivery
Product quality is excellent,Positive,Product,Quality
Fast and smooth delivery,Positive,Service,Delivery
Very durable and reliable,Positive,Product,Quality
Product quality is excellent,Positive,Product,Quality
Delivery experience was disappointing,Negative,Service,Delivery
Delivery experience was disappointing,Negative,Service,Delivery
Delivery was very late,Negative,Service,Delivery
Course material is comprehensive,Positive,Education,Course Content
Delivery was very late,Negative,Service,Delivery
Product quality is excellent,Positive,Product,Quality
The product broke after one day,Negative,Product,Quality
Course content is outdated,Negative,Education,Course Content
Course content is outdated,Negative,Education,Course Content
Package arrived on time,Positive,Service,Delivery
Faculty teaches very well,Positive,Education,Faculty
Content needs improvement,Negative,Education,Course Content
Product quality is excellent,Positive,Product,Quality
Faculty is not responsive,Negative,Education,Faculty
Delivery experience was disappointing,Negative,Service,Delivery
Delivery experience was disappointing,Negative,Service,Delivery
The product broke after one day,Negative,Product,Quality
Very durable and reliable,Positive,Product,Quality
Product quality is excellent,Positive,Product,Quality
Fast and smooth delivery,Positive,Service,Delivery
Product quality is excellent,Positive,Product,Quality
Poor build quality,Negative,Product,Quality
Poor build quality,Negative,Product,Quality
Course material is comprehensive,Positive,Education,Course Content
Content needs improvement,Negative,Education,Course Content
Delivery was very late,Negative,Service,Delivery
Product quality is excellent,Positive,Product,Quality
Faculty teaches very well,Positive,Education,Faculty
Package arrived on time,Positive,Service,Delivery
Poor build quality,Negative,Product,Quality
The product broke after one day,Negative,Product,Quality
Product quality is excellent,Positive,Product,Quality
Teachers explain concepts clearly,Positive,Education,Faculty
The product broke after one day,Negative,Product,Quality
Package arrived on time,Positive,Service,Delivery
Fast and smooth delivery,Positive,Service,Delivery
Delivery experience was disappointing,Negative,Service,Delivery
Very durable and reliable,Positive,Product,Quality
Delivery experience was disappointing,Negative,Service,Delivery
Course material is comprehensive,Positive,Education,Course Content
Faculty teaches very well,Positive,Education,Faculty
Delivery was very late,Negative,Service,Delivery
Delivery was very late,Negative,Service,Delivery
The curriculum is well designed,Positive,Education,Course Content
Faculty lacks subject knowledge,Negative,Education,Faculty
Fast and smooth delivery,Positive,Service,Delivery
Course material is comprehensive,Positive,Education,Course Content
Product quality is excellent,Positive,Product,Quality
Delivery experience was disappointing,Negative,Service,Delivery
Course material is comprehensive,Positive,Education,Course Content
Very durable and reliable,Positive,Product,Quality
Very durable and reliable,Positive,Product,Quality
Very durable and reliable,Positive,Product,Quality
Delivery experience was disappointing,Negative,Service,Delivery
Content needs improvement,Negative,Education,Course Content
Product quality is excellent,Positive,Product,Quality
Very durable and reliable,Positive,Product,Quality
Course material is comprehensive,Positive,Education,Course Content
Fast and smooth delivery,Positive,Service,Delivery
Very durable and reliable,Positive,Product,Quality
Faculty lacks subject knowledge,Negative,Education,Faculty
Delivery experience was disappointing,Negative,Service,Delivery
Course material is comprehensive,Positive,Education,Course Content
Delivery was very late,Negative,Service,Delivery
Faculty is not responsive,Negative,Education,Faculty
Poor build quality,Negative,Product,Quality
Delivery was very late,Negative,Service,Delivery
Product quality is excellent,Positive,Product,Quality
The product broke after one day,Negative,Product,Quality
Faculty is not responsive,Negative,Education,Faculty
Poor build quality,Negative,Product,Quality
Poor build quality,Negative,Product,Quality
Delivery experience was disappointing,Negative,Service,Delivery
The product broke after one day,Negative,Product,Quality
Package arrived on time,Positive,Service,Delivery
Delivery experience was disappointing,Negative,Service,Delivery
Very durable and reliable,Positive,Product,Quality
The curriculum is well designed,Positive,Education,Course Content
Product quality is excellent,Positive,Product,Quality
Delivery experience was disappointing,Negative,Service,Delivery
The curriculum is well designed,Positive,Education,Course Content
Course content is outdated,Negative,Education,Course Content
Course material is comprehensive,Positive,Education,Course Content
Poor build quality,Negative,Product,Quality
Product quality is excellent,Positive,Product,Quality
Course material is comprehensive,Positive,Education,Course Content
Delivery was very late,Negative,Service,Delivery
Poor build quality,Negative,Product,Quality
Faculty teaches very well,Positive,Education,Faculty
Poor build quality,Negative,Product,Quality
Course material is comprehensive,Positive,Education,Course Content
Faculty teaches very well,Positive,Education,Faculty
Delivery experience was disappointing,Negative,Service,Delivery
The product broke after one day,Negative,Product,Quality
The curriculum is well designed,Positive,Education,Course Content
Fast and smooth delivery,Positive,Service,Delivery
Package arrived on time,Positive,Service,Delivery
Delivery was very late,Negative,Service,Delivery
Poor build quality,Negative,Product,Quality
Very durable and reliable,Positive,Product,Quality
Faculty is not responsive,Negative,Education,Faculty
Product quality is excellent,Positive,Product,Quality
Delivery was very late,Negative,Service,Delivery
Package arrived on time,Positive,Service,Delivery
Fast and smooth delivery,Positive,Service,Delivery
The product broke after one day,Negative,Product,Quality
Faculty teaches very well,Positive,Education,Faculty
Delivery experience was disappointing,Negative,Service,Delivery
The curriculum is well designed,Positive,Education,Course Content
Fast and smooth delivery,Positive,Service,Delivery
Very durable and reliable,Positive,Product,Quality
Package arrived on time,Positive,Service,Delivery
Content needs improvement,Negative,Education,Course Content
Very durable and reliable,Positive,Product,Quality
Delivery experience was disappointing,Negative,Service,Delivery
Delivery was very late,Negative,Service,Delivery
Delivery was very late,Negative,Service,Delivery
The product broke after one day,Negative,Product,Quality
Poor build quality,Negative,Product,Quality
Poor build quality,Negative,Product,Quality
The product broke after one day,Negative,Product,Quality
Delivery experience was disappointing,Negative,Service,Delivery
Faculty is not responsive,Negative,Education,Faculty
Package arrived on time,Positive,Service,Delivery
The product broke after one day,Negative,Product,Quality
Delivery was very late,Negative,Service,Delivery
Delivery experience was disappointing,Negative,Service,Delivery
Delivery was very late,Negative,Service,Delivery
Poor build quality,Negative,Product,Quality
Very durable and reliable,Positive,Product,Quality
Teachers explain concepts clearly,Positive,Education,Faculty
Poor build quality,Negative,Product,Quality
Delivery was very late,Negative,Service,Delivery
Course material is comprehensive,Positive,Education,Course Content
The curriculum is well designed,Positive,Education,Course Content
Delivery was very late,Negative,Service,Delivery
Product quality is excellent,Positive,Product,Quality
Course material is comprehensive,Positive,Education,Course Content
Delivery was very late,Negative,Service,Delivery
Delivery experience was disappointing,Negative,Service,Delivery
Faculty is not responsive,Negative,Education,Faculty
Delivery experience was disappointing,Negative,Service,Delivery
Delivery was very late,Negative,Service,Delivery
Course material is comprehensive,Positive,Education,Course Content
Product quality is excellent,Positive,Product,Quality
Delivery was very late,Negative,Service,Delivery
Package arrived on time,Positive,Service,Delivery
Faculty teaches very well,Positive,Education,Faculty
Delivery was very late,Negative,Service,Delivery
Fast and smooth delivery,Positive,Service,Delivery
Delivery was very late,Negative,Service,Delivery
Fast and smooth delivery,Positive,Service,Delivery
Faculty teaches very well,Positive,Education,Faculty
The product broke after one day,Negative,Product,Quality
Faculty lacks subject knowledge,Negative,Education,Faculty
Poor build quality,Negative,Product,Quality
Faculty is not responsive,Negative,Education,Faculty
Delivery was very late,Negative,Service,Delivery
Poor build quality,Negative,Product,Quality
Fast and smooth delivery,Positive,Service,Delivery
Faculty is not responsive,Negative,Education,Faculty
Poor build quality,Negative,Product,Quality
The product broke after one day,Negative,Product,Quality
The product broke after one day,Negative,Product,Quality
Teachers explain concepts clearly,Positive,Education,Faculty
Delivery experience was disappointing,Negative,Service,Delivery
Very durable and reliable,Positive,Product,Quality
Course content is outdated,Negative,Education,Course Content
Product quality is excellent,Positive,Product,Quality
Delivery experience was disappointing,Negative,Service,Delivery
Faculty is not responsive,Negative,Education,Faculty
